ID,AGE,HOUSESIZE,LOTSIZE,ROOMS,QUALITY,LN_DIST_CBD,LN_DIST_MEUSE,DIST_MEUSE,FP_PROTECTED,INIT_LOG_PRICE_2020,INIT_PRICE_2020
1,49,100,124,5,3,7.750079,8.106436,3315.74,0,11.763916,128530
2,63,171,237,5,2,7.792893,7.338245,1538.01,0,12.125562,184529
3,69,108,120,4,2,7.431186,7.606934,2012.1,0,11.732426,124545
4,70,206,452,5,2,8.132046,7.800982,2443.0,0,12.239527,206804
5,51,130,106,4,2,7.737452,5.569679,262.35,1,12.007913,164048
6,57,150,247,6,1,7.897969,7.962827,2872.18,0,11.945005,154046
7,112,98,180,1,2,7.143252,7.347854,1552.86,0,11.920961,150386
8,92,147,163,4,2,7.618892,7.387641,1615.89,1,12.075719,175557
9,84,139,169,4,2,8.102475,7.225067,1373.43,0,11.99145,161369
10,62,114,137,6,2,7.965831,5.227841,186.39,1,11.991568,161388
11,108,135,185,5,2,7.19258,6.139432,463.79,1,12.121179,183722
12,59,118,234,4,2,8.031605,7.995829,2968.55,0,11.910309,148793
13,29,133,229,4,2,7.832105,7.474846,1763.13,0,11.895391,146589
14,88,123,136,6,2,7.954107,7.68652,2178.78,0,12.057545,172395
15,38,158,175,2,2,7.757276,7.113915,1228.95,1,11.929774,151717
16,51,106,141,1,2,8.143467,6.690619,804.82,0,11.722774,123349
17,28,151,203,7,2,8.300887,8.13612,3415.64,0,12.052779,171576
18,59,173,277,4,2,8.332451,7.910642,2726.14,0,12.083489,176926
19,57,166,231,6,1,7.874615,6.366058,581.76,1,12.145303,188208
20,73,149,360,9,2,7.624891,5.276889,195.76,1,12.455063,256546
21,35,158,151,4,2,7.945674,7.911148,2727.52,0,11.982534,159937
22,61,94,67,1,2,7.369325,6.860118,953.48,0,11.660606,115914
23,85,185,251,8,2,8.139653,7.712793,2236.78,0,12.339911,228642
24,137,162,107,7,1,6.376787,4.384524,80.2,0,12.33836,228287
25,50,211,859,3,2,8.1131,7.679436,2163.4,0,12.368275,235220
26,55,139,435,5,2,8.133622,7.40026,1636.41,1,12.119855,183479
27,51,82,134,4,3,7.453736,6.320732,555.98,1,12.065035,173691
28,115,145,252,5,3,6.667255,7.133001,1252.63,0,12.22192,203195
29,57,144,135,7,2,7.896928,7.65255,2106.01,0,12.077343,175842
30,46,202,414,7,2,8.143308,7.93461,2792.27,0,12.364618,234361
31,49,96,141,6,2,8.302149,7.627354,2053.61,0,12.018052,165720
32,87,171,636,6,3,7.646467,7.319785,1509.88,0,12.328066,225949
33,107,105,170,1,2,7.903003,7.876422,2634.43,0,11.769359,129231
34,97,151,138,7,1,6.436753,4.921877,137.26,1,12.168019,192532
35,55,116,174,9,2,7.614481,7.26608,1430.93,0,12.169581,192833
36,57,125,206,4,2,7.864252,7.510201,1826.58,0,12.066014,173861
37,82,175,225,7,3,7.33886,7.108187,1221.93,1,12.472375,261026
38,71,127,284,5,1,7.381662,6.675911,793.07,0,12.018027,165715
39,45,161,175,5,2,7.216527,7.035506,1136.27,0,12.107119,181157
40,53,187,591,7,2,8.229455,8.100978,3297.69,0,12.35919,233092
41,76,117,192,4,2,6.475165,7.250046,1408.17,0,11.985695,160443
42,70,92,86,4,2,8.056532,7.406668,1646.93,0,11.723169,123398
43,35,118,279,4,2,8.289238,7.826379,2505.84,0,11.878659,144157
44,74,98,68,5,2,7.728353,7.700019,2208.39,0,11.86484,142179
45,23,171,297,4,2,8.159938,7.75771,2339.54,0,12.027563,167303
46,74,167,248,8,1,7.931002,7.354311,1562.92,0,12.123394,184129
47,72,101,138,3,2,7.60184,6.113793,452.05,1,11.826153,136783
48,49,114,166,8,3,7.8074,7.31284,1499.43,0,12.200344,198858
49,89,159,228,4,3,7.168498,7.320388,1510.79,1,12.291369,217808
50,40,115,107,6,2,7.936613,7.868507,2613.66,0,11.959633,156316
51,64,130,180,1,2,8.095358,8.010197,3011.51,0,11.850254,140120
52,89,150,216,7,2,7.270084,6.410504,608.2,1,12.311171,222164
53,28,116,214,5,2,8.321999,7.514222,1833.94,0,11.962702,156796
54,70,186,148,6,2,7.643255,7.021084,1120.0,1,12.32193,224567
55,35,123,137,5,2,7.870042,6.903104,995.36,0,11.977141,159077
56,114,167,379,6,1,7.643774,4.554824,95.09,1,12.313489,222680
57,42,162,156,5,2,7.480828,7.167817,1297.01,0,12.303164,220392
